album_name,track_name,artist,featuring,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode
Red (Taylor's Version),Sad Beautiful Tragic (Taylor's Version),Taylor Swift,NA,0.601,0.406,7,-11.827,1,0.0275,0.622,9.19e-5,0.133,0.232,130.059,3,284773,FALSE,G,major,G major
Red (Taylor's Version),The Lucky One (Taylor's Version),Taylor Swift,NA,0.686,0.571,4,-7.138,1,0.05,0.066,0,0.0608,0.538,117.889,4,240467,FALSE,E,major,E major
Red (Taylor's Version),Everything Has Changed (Taylor's Version),Taylor Swift,Ed Sheeran,0.498,0.61,6,-5.098,1,0.0363,0.271,0,0.223,0.474,79.918,4,245427,FALSE,F#,major,F# major
Red (Taylor's Version),Starlight (Taylor's Version),Taylor Swift,NA,0.628,0.685,4,-5.864,1,0.0358,0.00324,0,0.18,0.605,126.014,4,220413,FALSE,E,major,E major
Red (Taylor's Version),Begin Again (Taylor's Version),Taylor Swift,NA,0.519,0.527,7,-7.673,1,0.0274,0.075,0,0.132,0.267,78.915,4,238867,FALSE,G,major,G major
Red (Taylor's Version),The Moment I Knew (Taylor's Version),Taylor Swift,NA,0.636,0.402,7,-7.855,1,0.031,0.0494,0,0.107,0.208,125.952,4,285280,FALSE,G,major,G major
Red (Taylor's Version),Come Back...Be Here (Taylor's Version),Taylor Swift,NA,0.46,0.632,4,-6.031,1,0.0302,0.0158,0,0.0822,0.399,79.846,4,223333,FALSE,E,major,E major
Red (Taylor's Version),Girl At Home (Taylor's Version),Taylor Swift,NA,0.691,0.736,5,-6.974,1,0.0326,0.00955,1.88e-5,0.101,0.612,125.089,4,220520,FALSE,F,major,F major
Red (Taylor's Version),State Of Grace (Acoustic Version) [Taylor's Version],Taylor Swift,NA,0.445,0.131,7,-13.778,1,0.0564,0.663,1.57e-6,0.108,0.101,208.918,3,321640,FALSE,G,major,G major
Red (Taylor's Version),Ronan (Taylor's Version),Taylor Swift,NA,0.623,0.279,0,-10.802,1,0.031,0.661,0,0.193,0.38,116.04,4,264253,FALSE,C,major,C major
Red (Taylor's Version),Better Man (Taylor's Version) [From The Vault],Taylor Swift,NA,0.473,0.579,4,-5.824,1,0.0384,0.214,0,0.0877,0.255,73.942,4,297013,FALSE,E,major,E major
Red (Taylor's Version),Nothing New (Taylor's Version) [From The Vault],Taylor Swift,Phoebe Bridgers,0.606,0.377,0,-9.455,1,0.0275,0.817,0,0.154,0.446,101.96,4,258813,FALSE,C,major,C major
Red (Taylor's Version),Babe (Taylor's Version) [From The Vault],Taylor Swift,NA,0.584,0.743,4,-7.075,1,0.0931,0.0538,2.83e-6,0.121,0.746,167.844,4,224240,FALSE,E,major,E major
Red (Taylor's Version),Message In A Bottle (Taylor's Version) [From The Vault],Taylor Swift,NA,0.622,0.791,7,-6.106,1,0.0535,0.00188,3.72e-6,0.083,0.494,115.915,4,225960,FALSE,G,major,G major
Red (Taylor's Version),I Bet You Think About Me (Taylor's Version) [From The Vault],Taylor Swift,Chris Stapleton,0.391,0.715,0,-4.516,1,0.0495,0.167,0,0.183,0.473,149.654,3,285107,TRUE,C,major,C major
Red (Taylor's Version),Forever Winter (Taylor's Version) [From The Vault],Taylor Swift,NA,0.611,0.552,7,-5.828,1,0.031,0.256,0,0.134,0.41,116.012,4,263533,FALSE,G,major,G major
Red (Taylor's Version),Run (Taylor's Version) [From The Vault],Taylor Swift,Ed Sheeran,0.61,0.488,3,-6.918,1,0.0293,0.817,0,0.312,0.443,125.039,4,240227,FALSE,D#,major,D# major
Red (Taylor's Version),The Very First Night (Taylor's Version) [From The Vault],Taylor Swift,NA,0.678,0.733,7,-5.025,1,0.0281,0.00115,0,0.104,0.581,121.009,4,200280,FALSE,G,major,G major
